what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.security,1.1.100.v20120522-1841,"org.eclipse.equinox.security",1355067630452
started,bundle,org.eclipse.equinox.util,1.0.400.v20120522-2049,"org.eclipse.equinox.util",1355067630452
started,bundle,org.eclipse.help,3.6.0.v20120521-2344,"org.eclipse.help",1355067630452
started,bundle,org.eclipse.jdt.core,3.8.2.v20120814-155456,"org.eclipse.jdt.core",1355067630452
started,bundle,org.eclipse.jdt.core.manipulation,1.5.0.v20120523-1543,"org.eclipse.jdt.core.manipulation",1355067630452
started,bundle,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui",1355067630483
started,bundle,org.eclipse.jface,3.8.101.v20120817-083647,"org.eclipse.jface",1355067630483
started,bundle,org.eclipse.m2e.discovery,1.2.0.20120903-1050,"org.eclipse.m2e.discovery",1355067630483
started,bundle,org.eclipse.m2e.logback.configuration,1.2.0.20120903-1050,"org.eclipse.m2e.logback.configuration",1355067630483
started,bundle,org.eclipse.mylyn.bugzilla.core,3.8.2.v20120916-1200,"org.eclipse.mylyn.bugzilla.core",1355067630483
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.bugzilla.ui",1355067630514
started,bundle,org.eclipse.mylyn.builds.ui,1.0.2.v20120916-1200,"org.eclipse.mylyn.builds.ui",1355067630530
started,bundle,org.eclipse.mylyn.commons.core,3.8.2.v20120916-1200,"org.eclipse.mylyn.commons.core",1355067630530
started,bundle,org.eclipse.mylyn.commons.net,3.8.2.v20120916-1200,"org.eclipse.mylyn.commons.net",1355067630530
started,bundle,org.eclipse.mylyn.commons.notifications.core,1.0.2.v20120916-1200,"org.eclipse.mylyn.commons.notifications.core",1355067630530
started,bundle,org.eclipse.mylyn.commons.notifications.feed,1.0.2.v20120916-1200,"org.eclipse.mylyn.commons.notifications.feed",1355067630530
started,bundle,org.eclipse.mylyn.commons.notifications.ui,1.0.2.v20120916-1200,"org.eclipse.mylyn.commons.notifications.ui",1355067630530
started,bundle,org.eclipse.mylyn.commons.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.commons.ui",1355067630530
started,bundle,org.eclipse.mylyn.commons.workbench,3.8.2.v20120916-1200,"org.eclipse.mylyn.commons.workbench",1355067630530
started,bundle,org.eclipse.mylyn.context.core,3.8.2.v20120916-1200,"org.eclipse.mylyn.context.core",1355067630530
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.context.tasks.ui",1355067630530
started,bundle,org.eclipse.mylyn.monitor.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.monitor.ui",1355067630530
started,bundle,org.eclipse.mylyn.tasks.index.core,3.8.2.v20120916-1200,"org.eclipse.mylyn.tasks.index.core",1355067630530
started,bundle,org.eclipse.mylyn.tasks.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.tasks.ui",1355067630546
started,bundle,org.eclipse.mylyn.team.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.team.ui",1355067630546
started,bundle,org.eclipse.search,3.8.0.v20120523-1540,"org.eclipse.search",1355067630546
started,bundle,org.eclipse.team.core,3.6.100.v20120524-0627,"org.eclipse.team.core",1355067630546
started,bundle,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui",1355067630546
started,bundle,org.eclipse.ui.editors,3.8.0.v20120523-1540,"org.eclipse.ui.editors",1355067630546
started,bundle,org.eclipse.ui.forms,3.5.200.v20120705-114351,"org.eclipse.ui.forms",1355067630546
started,bundle,org.eclipse.ui.ide,3.8.1.v20120828-165804,"org.eclipse.ui.ide",1355067630546
started,bundle,org.eclipse.ui.intro,3.4.200.v20120521-2344,"org.eclipse.ui.intro",1355067630561
started,bundle,org.eclipse.ui.intro.universal,3.2.600.v20120521-2344,"org.eclipse.ui.intro.universal",1355067630561
started,bundle,org.eclipse.ui.net,1.2.101.v20120801-152207,"org.eclipse.ui.net",1355067630561
started,bundle,org.eclipse.ui.views,3.6.100.v20120705-114010,"org.eclipse.ui.views",1355067630561
started,bundle,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"org.eclipse.ui.workbench",1355067630561
started,bundle,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.workbench.texteditor",1355067630592
started,bundle,org.eclipse.update.configurator,3.3.200.v20120523-1752,"org.eclipse.update.configurator",1355067630592
started,bundle,org.eclipse.wb.discovery.core,1.5.1.r42x201209161116,"org.eclipse.wb.discovery.core",1355067630639
started,bundle,org.eclipse.wb.discovery.ui,1.5.1.r42x201209161116,"org.eclipse.wb.discovery.ui",1355067630639
started,bundle,org.eclipse.epp.usagedata.gathering,1.1.1.R201001291118,"org.eclipse.epp.usagedata.gathering",1355067630639
started,bundle,org.eclipse.epp.usagedata.recording,1.1.1.R201001291118,"org.eclipse.epp.usagedata.recording",1355067630639
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1355067630655
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1355067630655
os,sysinfo,,,"win32",1355067630655
arch,sysinfo,,,"x86_64",1355067630655
ws,sysinfo,,,"win32",1355067630655
locale,sysinfo,,,"en_GB",1355067630655
processors,sysinfo,,,"3",1355067630655
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1355067630655
java.runtime.version,sysinfo,,,"1.6.0_13-b03",1355067630655
java.specification.name,sysinfo,,,"Java Platform API Specification",1355067630655
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1355067630655
java.specification.version,sysinfo,,,"1.6",1355067630655
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1355067630655
java.version,sysinfo,,,"1.6.0_13",1355067630655
java.vm.info,sysinfo,,,"mixed mode",1355067630655
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1355067630655
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1355067630655
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1355067630655
java.vm.specification.version,sysinfo,,,"1.0",1355067630655
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1355067630655
java.vm.version,sysinfo,,,"11.3-b02",1355067630655
started,bundle,org.eclipse.jsch.core,1.1.400.v20120522-1148,"org.eclipse.jsch.core",1355067631201
started,bundle,org.eclipse.team.cvs.core,3.3.500.v20120522-1148,"org.eclipse.team.cvs.core",1355067631216
started,bundle,org.eclipse.team.ui,3.6.200.v20120522-1148,"org.eclipse.team.ui",1355067631279
started,bundle,org.eclipse.ui.console,3.5.100.v20120521-2012,"org.eclipse.ui.console",1355067631388
started,bundle,org.eclipse.team.cvs.ui,3.3.500.v20120522-1148,"org.eclipse.team.cvs.ui",1355067631513
activated,view,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.PackageExplorer",1355067633478
closed,view,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.internal.introview",1355067633494
started,bundle,org.eclipse.debug.core,3.7.100.v20120521-2012,"org.eclipse.debug.core",1355067642119
started,bundle,org.eclipse.jdt.launching,3.6.100.v20120523-1953,"org.eclipse.jdt.launching",1355067642197
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1355067643663
started,bundle,org.eclipse.jgit,2.1.0.201209190230-r,"org.eclipse.jgit",1355067661555
started,bundle,org.eclipse.egit.core,2.1.0.201209190230-r,"org.eclipse.egit.core",1355067661742
started,bundle,org.eclipse.egit.ui,2.1.0.201209190230-r,"org.eclipse.egit.ui",1355067661961
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1355067674003
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1355067674034
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1355067678495
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1355067683112
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1355067709178
closed,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1355067721095
stopped,bundle,org.eclipse.mylyn.ide.ant,3.8.2.v20120916-1200,"org.eclipse.mylyn.ide.ant",1355067722093
stopped,bundle,org.eclipse.ant.ui,3.5.300.v20120523-1752,"org.eclipse.ant.ui",1355067722141
stopped,bundle,org.eclipse.mylyn.hudson.ui,1.0.2.v20120916-1200,"org.eclipse.mylyn.hudson.ui",1355067722141
stopped,bundle,org.eclipse.mylyn.builds.ui,1.0.2.v20120916-1200,"org.eclipse.mylyn.builds.ui",1355067722157
stopped,bundle,org.eclipse.mylyn.java.tasks,3.8.2.v20120916-1200,"org.eclipse.mylyn.java.tasks",1355067722172
stopped,bundle,org.eclipse.mylyn.java.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.java.ui",1355067722172
